127.0.0.1 - - [22/Mar/2021:15:29:04 +0700] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:37 +0700] "GET /inventory-management/category/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:37 +0700] "GET /inventory-management/login HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:42 +0700] "POST /inventory-management/processLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:42 +0700] "GET /inventory-management/index HTTP/1.1" 200 10600
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:43 +0700] "GET /inventory-management/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:47 +0700] "GET /inventory-management/product-info/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/product-info/list/1 HTTP/1.1" 200 19793
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/product-info/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/upload/1615723508103_xiaomi%20mi%2010.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/upload/1615723177859_xiaomi%20note%209.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/upload/1615723127804_LenovoA5s.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/upload/1615723448084_lenovo%20z26s.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:48 +0700] "GET /inventory-management/upload/1615723295674_iphone%2011.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:29:51 +0700] "GET /inventory-management/product-info/view/8 HTTP/1.1" 500 13697
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:05 +0700] "GET /inventory-management/product-info/edit/7 HTTP/1.1" 500 13697
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/product-info/list/1 HTTP/1.1" 200 19793
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/nprogress/nprogress.css HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.css HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/build/css/custom.min.css HTTP/1.1" 200 62701
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.buttons.css HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.nonblock.css HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/bootstrap-datetimepicker/build/css/bootstrap-datetimepicker.css HTTP/1.1" 200 9038
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:17 +0700] "GET /inventory-management/resources/vendors/jquery/dist/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.buttons.js HTTP/1.1" 200 4022
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/nprogress/nprogress.js HTTP/1.1" 200 11565
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.js HTTP/1.1" 200 13359
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/images/user.png HTTP/1.1" 200 7627
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 44715
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.nonblock.js HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/vendors/bootstrap-datetimepicker/build/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 38510
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/resources/build/js/custom.js HTTP/1.1" 200 117687
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:30:18 +0700] "GET /inventory-management/product-info/list/images/img.jpg HTTP/1.1" 404 683
